0.000,3.622
1.246,3.761
1.842,3.900
2.266,4.039
2.605,4.179
2.891,4.318
3.139,4.457
3.358,4.597
3.555,4.736
3.733,4.875
3.896,5.014
4.046,5.154
4.185,5.293
4.314,5.432
4.434,5.572
4.547,5.711
4.654,5.850
4.754,5.989
4.848,6.129
4.938,6.268
5.023,6.407
5.104,6.547
5.181,6.686
5.255,6.825
5.325,6.964
5.392,7.104
5.457,7.243
5.518,7.382
5.578,7.522
5.635,7.661
5.690,7.800
5.743,7.939
5.794,8.079
5.843,8.218
5.890,8.357
5.936,8.497
5.981,8.636
6.024,8.775
6.065,8.915
6.106,9.054
6.145,9.193
6.183,9.332
6.220,9.472
6.256,9.611
6.290,9.750
6.324,9.890
6.357,10.029
6.389,10.168
6.420,10.307
6.451,10.447
6.480,10.586
6.509,10.725
6.537,10.865
6.565,11.004
6.591,11.143
6.618,11.282
6.643,11.422
6.668,11.561
6.693,11.700
6.716,11.840
6.740,11.979
6.762,12.118
6.785,12.257
6.807,12.397
6.828,12.536
6.849,12.675
6.869,12.815
6.890,12.954
6.909,13.093
6.928,13.232
6.947,13.372
6.966,13.511
6.984,13.650
7.002,13.790
7.019,13.929
7.037,14.068
7.054,14.208
7.070,14.347
7.086,14.486
7.102,14.625
7.118,14.765
7.133,14.904
7.149,15.043
7.163,15.183
7.178,15.322
7.192,15.461
7.207,15.600
7.221,15.740
7.234,15.879
7.248,16.018
7.261,16.158
7.274,16.297
7.287,16.436
7.299,16.575
7.312,16.715
7.324,16.854
7.336,16.993
7.348,17.133
7.360,17.272
7.371,17.411
7.383,17.550
7.394,17.690
7.405,17.829
7.416,17.968
7.426,18.108
7.437,18.247
7.447,18.386
7.458,18.525
7.468,18.665
7.478,18.804
7.488,18.943
7.497,19.083
7.507,19.222
7.516,19.361
7.526,19.501
7.535,19.640
7.544,19.779
7.553,19.918
7.562,20.058
7.571,20.197
7.579,20.336
7.588,20.476
7.596,20.615
7.604,20.754
7.613,20.893
7.621,21.033
7.629,21.172
7.637,21.311
7.644,21.451
7.652,21.590
7.660,21.729
7.667,21.868
7.675,22.008
7.682,22.147
7.689,22.286
7.697,22.426
7.704,22.565
7.711,22.704
7.718,22.843
7.725,22.983
7.731,23.122
7.738,23.261
7.745,23.401
7.751,23.540
7.758,23.679
7.764,23.818
7.771,23.958
7.777,24.097
7.783,24.236
7.789,24.376
7.795,24.515
7.801,24.654
7.807,24.794
7.813,24.933
7.819,25.072
7.825,25.211
7.830,25.351
7.836,25.490
7.842,25.629
7.847,25.769
7.853,25.908
7.858,26.047
7.864,26.186
7.869,26.326
7.874,26.465
7.879,26.604
7.885,26.744
7.890,26.883
7.895,27.022
7.900,27.161
7.905,27.301
7.910,27.440
7.915,27.579
7.919,27.719
7.924,27.858
7.929,27.997
7.934,28.136
7.938,28.276
7.943,28.415
7.947,28.554
7.952,28.694
7.956,28.833
7.961,28.972
7.965,29.111
7.970,29.251
7.974,29.390
7.978,29.529
7.983,29.669
7.987,29.808
